rank,model_id,display_name,provider,realized_occupation_exposure_100,benchmark_coverage_ratio,benchmark_count,benchmarks,benchmark_variants,release_date,notes
157,dr_huichi,DR-Huichi,Benchmark submission,8.5934,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
158,terminus_2_kimi_k2_instruct,Terminus 2 | Kimi K2 Instruct,Terminus 2,8.5089,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
159,claude_code_claude_haiku_4_5,Claude Code | Claude Haiku 4.5,Claude Code,8.4171,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
160,dakou_agent_qwen_3_coder_480b,Dakou Agent | Qwen 3 Coder 480B,Dakou Agent,8.3253,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
161,openhands_grok_4,OpenHands | Grok 4,OpenHands,8.3253,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
162,openhands_kimi_k2_instruct,OpenHands | Kimi K2 Instruct,OpenHands,8.1723,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
163,mini_swe_agent_gemini_2_5_pro,Mini-SWE-Agent | Gemini 2.5 Pro,Mini-SWE-Agent,7.9886,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
164,mini_swe_agent_grok_code_fast_1,Mini-SWE-Agent | Grok Code Fast 1,Mini-SWE-Agent,7.8968,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
165,mini_swe_agent_grok_4,Mini-SWE-Agent | Grok 4,Mini-SWE-Agent,7.7744,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
166,openhands_qwen_3_coder_480b,OpenHands | Qwen 3 Coder 480B,OpenHands,7.7744,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
167,terminus_2_glm_4_6,Terminus 2 | GLM 4.6,Terminus 2,7.4989,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
168,terminus_2_gpt_5_mini,Terminus 2 | GPT-5-Mini,Terminus 2,7.3458,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
169,terminus_2_qwen_3_coder_480b,Terminus 2 | Qwen 3 Coder 480B,Terminus 2,7.3152,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
170,warm_up_act,Warm-up Act,Benchmark submission,7.1227,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
171,terminus_2_grok_4,Terminus 2 | Grok 4,Terminus 2,7.0704,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
172,fhswf_gaia_smolagents,fhswf-gaia-smolagents,Benchmark submission,6.8755,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
173,fhswf_smolagents,fhswf-smolagents,Benchmark submission,6.8755,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
174,huggingface_agents_llama3_70b,HuggingFace Agents + Llama3-70B,Benchmark submission,6.8755,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
175,mini_swe_agent_gpt_5_mini,Mini-SWE-Agent | GPT-5-Mini,Mini-SWE-Agent,6.7949,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
176,gemini_cli_gemini_2_5_pro,Gemini CLI | Gemini 2.5 Pro,Gemini CLI,5.9991,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
177,terminus_2_gpt_oss_120b,Terminus 2 | GPT-OSS-120B,Terminus 2,5.7237,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
178,qb_1,qb_1,Benchmark submission,5.4007,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
179,mini_swe_agent_gemini_2_5_flash,Mini-SWE-Agent | Gemini 2.5 Flash,Mini-SWE-Agent,5.2339,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
180,terminus_2_afterquery_gpt_oss_20b,Terminus 2 | AfterQuery-GPT-OSS-20B,Terminus 2,5.2033,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
181,terminus_2_gemini_2_5_flash,Terminus 2 | Gemini 2.5 Flash,Terminus 2,5.1727,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
182,openhands_gemini_2_5_flash,OpenHands | Gemini 2.5 Flash,OpenHands,5.0197,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
183,openhands_gemini_2_5_pro,OpenHands | Gemini 2.5 Pro,OpenHands,5.0197,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
184,claritybotv2,ClarityBotV2,Benchmark submission,4.9105,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
185,gemini_cli_gemini_2_5_flash,Gemini CLI | Gemini 2.5 Flash,Gemini CLI,4.7136,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
186,mini_swe_agent_gpt_oss_120b,Mini-SWE-Agent | GPT-OSS-120B,Mini-SWE-Agent,4.3463,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
187,terminus_2_grok_code_fast_1,Terminus 2 | Grok Code Fast 1,Terminus 2,4.3463,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
188,openhands_claude_haiku_4_5,OpenHands | Claude Haiku 4.5,OpenHands,4.2545,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
189,dynasaur_l1,dynasaur_l1,Benchmark submission,4.1731,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
190,gpt4_turbo,GPT4 Turbo,OpenAI-related submission,3.93,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
191,noxrobot_v0_1,noxrobot v0.1,Benchmark submission,3.93,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
192,vm_agent,VM Agent,Benchmark submission,3.6829,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
193,codex_cli_gpt_5_nano,Codex CLI | GPT-5-Nano,Codex CLI,3.5199,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
194,openhands_gpt_5_nano,OpenHands | GPT-5-Nano,OpenHands,3.0302,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
195,claritybot,ClarityBot,Benchmark submission,2.7024,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
196,gpt4,GPT4,OpenAI-related submission,2.4552,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
197,openmanus,OpenManus,Benchmark submission,2.4552,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
198,terminus_2_gpt_5_nano,Terminus 2 | GPT-5-Nano,Terminus 2,2.418,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
199,mini_swe_agent_gpt_5_nano,Mini-SWE-Agent | GPT-5-Nano,Mini-SWE-Agent,2.1425,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
200,autogpt4,AutoGPT4,OpenAI-related submission,1.965,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
201,gpt3_5,GPT3.5,OpenAI-related submission,1.965,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
202,fhswfgaia,fhswfgaia,Benchmark submission,1.2276,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
203,mini_swe_agent_gpt_oss_20b,Mini-SWE-Agent | GPT-OSS-20B,Mini-SWE-Agent,1.0407,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
204,gpt_3_5,gpt-3.5,OpenAI-related submission,0.9805,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
205,terminus_2_gpt_oss_20b,Terminus 2 | GPT-OSS-20B,Terminus 2,0.9488,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
206,ant_test,ant_test,Benchmark submission,0.4902,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
207,cohere_model,Cohere Model,Benchmark submission,0.2471,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
208,test,TEST,Benchmark submission,0.2471,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
209,deedee,deedee,Benchmark submission,0.0,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
210,honey_agent,Honey_agent,Benchmark submission,0.0,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
211,my_agent,my_agent,Benchmark submission,0.0,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
212,openresearch,openresearch,OpenAI-related submission,0.0,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
213,model_e0d7c8ae1a,АгентИИ.рф,Benchmark submission,0.0,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
